Report generated on: 04-02-2024 16:48:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.130-2-ALB-TST.A","            Metallurgical coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.12-2-ALB-TST.A","            Bituminous (Mst)","176.54586077994","165.30223390154","209.38283235607","220.40298001861","231.42312892267","242.44327740481","241.5250358192","260.53981771483","266.22934317179","239.38563337048","176.83977549734","119.67897682996","71.771590105661","51.980825223816","39.66841602486","10.825152616654","5.2955289766167","8.3385959622324","4.3362826171358","2.7832396913993","5.6345473003706","9.2133668571359","6.3990181268882","3.5948283642947","6.0900021246952","4.8556362735017","46.234894621661","81.166385957131","92.751849785348","159.81299132526","140.31979343257","138.92922046035","124.89310681883","112.43562","144.40413394614","112.53507438999","83.81424336483","75.58932","84.65739918152","87.83164963837","121.54365038156","140.25271488294","226.97601606713"
"INTL.119-2-ALB-TST.A","            Subbituminous (Mst)","0.017632258064516","0.016530241935484","0.020938306451613","0.022040322580645","0.023142338709677","0.02424435483871","0.025346370967742","0.025346370967742","0.026448387096774","0.026448387096774","0.033280887096774","0.022040322580645","0.0055100806451613","0.010160588709677","0.0088602096774193","0.0042317419354839","0.0034549376537299","0.0026781333719758","0.0022490496169355","0.0011245248084678","0.00069544105342743","0.0002663572983871","0.0001708125","0.00034327802419355","0.00066054846774194","0.0004405860483871","0.0053629614919355","0.010791052137097","0.011296657137097","0.015981299132526","0.014031979343257","0.013892922046035","0.012489310681883","0.011243562","0.0065144722080967","10.922567160774","5.8343391515159","9.95407","3.00855121765","16.25471176164","0","0","0"
"INTL.14-2-ALB-TST.A","            Lignite (Mst)","1565.086284634","1697.5851358751","1873.9621293607","2039.3104796834","2215.6819287644","2370.0071782675","2326.8325748086","2418.0474283034","2423.3804338939","2442.5078736837","2187.5832837263","1210.7869222036","276.55459291932","175.08749383937","146.6150013305","144.59361929482","119.26219321198","80.39235139328","50.556650405822","64.897243230692","74.832509041435","80.072821806178","61.943561971299","66.952652152869","58.945678875092","54.668618162871","42.772014388876","37.323822404273","55.223992529673","17.642937375608","21.71324029609","7.6791080336053","6.2917809944919","3.32566927","0.093374101649385","0.024139876741697","15.473235701","50.70626","108.02638","134.17161","139.99337","265.38003019","197.4465718863"
"INTL.21-2-ALB-TST.A","        Metallurgical coke (Mst)","27.55775","28.66006","29.76237","30.86468","31.96699","33.0693","34.17161","36.37623","37.47854","37.47854","40.78547","39.68316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-DZA-TST.A","        Coal (Mst)","102.369504712799","307.6596691384","822.27052558564","1333.5643130594","1374.5635000957","1374.8380131248","1388.7590113254","1407.4668188581","1428.3792563909","1447.6382139236","1347.1078863838","1246.577558844","1155.7781540943","908.13743769519","925.9404","553.35965","575.70855862724","620.60053","698.313395","697.652008","649.5097095847262","602.9635700000018","347.8538055609848","407.6567030778028","420.6988161200043","415.4606389999953","275.0942808395067","281.2584880516288","287.6757045009286","183.20298326662578","1.8672897024833615","2.2041153284792596","17.382771637034573","50.51921342534","33.50170424601","23.15455286342","23.06874574609","37.08419816047","16.47184588775","16.26869897323","26.40699898705","37.75958936684","20.55587688"
"INTL.11-2-DZA-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-DZA-TST.A","            Metallurgical coal (Mst)","99.062574712799","297.1877241384","804.63356558564","1308.7623380594","1349.4859475957","1349.4848831248","1376.6336013254","1396.9948738581","1417.3561463909","1437.7174189236","1335.2580438838","1232.798668844","1139.2434840943","886.09120769519","900.58727","529.1088","562.48081862724","608.47512","692.25068","696.65992","648.86058996856","602.0803151989","346.670211833","406.68140892814","419.73405998649","414.40866823026","273.97564846113","280.3754292023","286.77520994347","182.98346","1.86271540499","2.20086883907","17.3635320045","50.45547565652","33.46743893966","22.87150390624","23.06102737147","36.77585816047","16.27232777775","16.1217908126","26.38495278705","37.46626467584","20.55587688"
"INTL.12-2-DZA-TST.A","            Bituminous (Mst)","3.30693","10.471945","17.63696","24.801975","25.0775525","25.35313","12.12541","10.471945","11.02311","9.920795","11.8498425","13.77889","16.53467","22.04623","25.35313","24.25085","13.22774","12.12541","6.062715","0.99208799999999","0.64911961616628","0.88325480110188","1.1835937279848","0.97529414966277","0.96475613351435","1.0519707697353","1.1186323783767","0.8830588493288","0.90049455745861","0.21952326662579","0.0045742974933614","0.0032464894092596","0.019239632534574","0.06373776882","0.03426530635","0.28304895718","0.00771837462","0.30834","0.19951811","0.14690816063","0.0220462","0.293324691","0"
"INTL.119-2-DZA-TST.A","            Subbituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.14-2-DZA-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
